filename,pages_redacted
1986_0514_-sladda_.pdf,14
1986_0520_-sladda_.pdf,11
1986_1015-ss._-sladda_--sladda-tillegg_84-113.pdf,16
1987_0605_-sladda_.pdf,3
1988_0229_-sladda_.pdf,9
1988_0314_-sladda_.pdf,11
1988_1214_-sladda_.pdf,1
1990_0306_-sladda_.pdf,23
1990_0516_-sladda_.pdf,5
1990_0914-ss.-493-526_-sladda_.pdf,8
1990_1025_-sladda_.pdf,7
1990_1106_sladda_.pdf,4
1990_1119-ss.-719-774_-sladda_.pdf,12
1991_0109-ss.-1-45_-sladda_.pdf,23
1991_1015_-sladda_.pdf,10
1992_0219_-sladda_.pdf,4
1992_0520_-sladda_.pdf,16
1992_1201_-sladda_.pdf,29